Day,Subject,Start,End
1,Math,12:00,13:00
1,Bio-Informatics,13:00,14:00
1,Recess,14:00,15:00
1,Math Lab,15:00,17:00
2,Math,12:00,13:00
2,Physics,13:00,14:00
2,OOPS,14:00,15:00
2,Recess,15:00,15:30
2,OOPS Lab,15:30,17:30
3,Computer Workshop,9:00,10:00
3,UHV,10:00,11:00
3,Bio-Informatics,11:00,12:00
3,Recess,12:00,13:00
3,Physics Lab,13:00,15:00
4,English Lab,10:00,12:00
4,Recess,12:00,13:00
4,OOPS,13:00,14:00
4,Computer Architecture,14:00,15:00
4,English,15:00,16:00
5,English,9:00,10:00
5,Physics,10:00,11:00
5,Computer Architecture,11:00,12:00
5,Recess,12:00,13:00
5,CWS Lab,13:00,15:00
6,Math,11:00,12:00
6,Physics,12:00,13:00
6,OOPS,13:00,14:00
6,Liberal Arts,14:00,16:00
